"time","obs"
1969.84296613394,0.114
1969.85310502283,0.114
1969.85332952816,0.13
1969.85406202435,0.211
1969.854847793,0.211
1969.85583523592,0.346
1969.85629756469,0.346
1969.85724885845,0.251
1969.85951674277,0.251
1969.8601065449,0.449
1969.86149733638,0.449
1969.86498287671,0.251
1969.86673515982,0.211
1969.8674695586,0.346
1969.87037480974,0.295
1969.87756278539,0.211
1969.88135844749,0.211
1969.88369292237,0.251
1969.8935216895,0.171
1969.89370814307,0.211
1969.89396118721,0.211
1969.89430365297,0.295
1969.89482305936,0.346
1969.89832191781,0.295
1969.89849505327,0.5
1969.89871194825,0.91
1969.89891171994,0.91
1969.89908675799,1.3
1969.89939497717,1.48
1969.89965943683,2.21
1969.9004718417,1.48
1969.90071727549,1.3
1969.90109969559,1.3
1969.90136605784,1.53
1969.90162290715,1.48
1969.90457191781,1
1969.90844748858,0.661
1969.91205098935,0.5
1969.91269406393,0.661
1969.91543378995,0.5
1969.91680365297,0.449
1969.91861491629,0.449
1969.91879375951,0.398
1969.92467846271,0.398
1969.92551940639,0.449
1969.92571156773,0.5
1969.92590372907,0.581
1969.92625570776,1.19
1969.92630707763,1.48
1969.92643074581,2.35
1969.92664193303,4.27
1969.92683409437,4.45
1969.92716133942,3.91
1969.92744482496,3.91
1969.92764840183,4.45
1969.92781582953,4.45
1969.92865677321,3.02
1969.92977359209,2.21
1969.93183980213,1.67
1969.93307077626,1.48
1969.93799657534,0.91
1969.93885464231,0.91
1969.94327054795,0.661
1969.94744863014,0.742
1969.94804604262,0.581
1969.95291476408,0.5
1969.95708143075,0.5
1969.95736681887,0.91
1969.95753614916,0.91
1969.95812975647,1.19
1969.95876141553,1.94
1969.95929033486,2.08
1969.96078196347,2.08
1969.96154680365,1.81
1969.96174657534,1.53
1969.96242579909,1.48
1969.96253614916,1.41
1969.96546993912,1.48
1969.96553272451,1.53
1969.96590372907,1.67
1969.96607876712,2.08
1969.96611491629,2.35
1969.96635273973,4.63
1969.96648401827,5
1969.96666476408,4.45
1969.96700913242,3.72
1969.96772450533,2.86
1969.96892313546,2.52
1969.96922564688,2.21
1969.97050799087,2.08
1969.9712347793,1.67
1969.97207762557,1.67
1969.97390791476,1.41
1969.97647640791,1.19
1969.97717465753,1.19
1969.97744482496,1.48
1969.97759322679,1.81
1969.97777777778,2.52
1969.97800418569,2.86
1969.97817351598,3.36
1969.97840182648,3.36
1969.97885464231,3.02
1969.97957762557,3.36
1969.98008751903,2.86
1969.98180745814,2.21
1969.98354071537,2.21
1969.98809550989,1.67
1969.98835806697,1.41
1969.99616057839,1
1969.99913622527,1
1969.99941590563,0.91
1970.00182458143,0.91
1970.00220129376,0.823
1970.00466133942,0.823
1970.00495053272,0.742
1970.00726788432,0.742
1970.00761035008,0.661
1970.0125304414,0.661
1970.01305745814,0.855
1970.0132781583,0.91
1970.014543379,0.91
1970.01506468798,1.41
1970.01609589041,1.09
1970.01883942161,0.823
1970.02185312024,0.661
1970.02746765601,0.742
1970.03061643836,0.855
1970.03269977169,0.91
1970.03296042618,1.48
1970.03312024353,1.94
1970.0333085997,1.94
1970.03362442922,1.67
1970.03425989346,1.41
1970.03482686454,1.41
1970.0349695586,1.3
